variable_1	variable_2	mutual_information	nmi	permutation_p_value
Consensus Clinical Dx (choice=Alzheimers disease)	CERAD score	0.14059972855838684	0.15945118251185797	0.00398406374501992
Race (choice=Other)	APOE Genotype	0.06890700410006736	0.15734987271659545	0.01593625498007968
specify other race	APOE Genotype	0.06890700410006736	0.15734987271659545	0.01593625498007968
RIN	Severely Affected Donor	0.12394506721725855	0.15689244498327956	0.00398406374501992
APOE Genotype	Overall AD neuropathological Change	0.19101301916411076	0.1556182790504669	0.00398406374501992
Consensus Clinical Dx (choice=Control)	Last CASI Score	0.15850697266455968	0.1533160989669729	0.00398406374501992
APOE Genotype	Last CASI Score	0.21389908863814572	0.15117353900082978	0.0199203187250996
Last MMSE Score	Thal	0.2356333858096331	0.14990861480350126	0.027888446215139442
Last MOCA Score	Interval from last MOCA in months	0.042732916778482996	0.14898032082019555	0.01195219123505976
Braak	LATE	0.20052914915772393	0.14853272137053736	0.00796812749003984
Overall AD neuropathological Change	Severely Affected Donor	0.10067322940647436	0.1468645702676701	0.00398406374501992
Consensus Clinical Dx (choice=Control)	Consensus Clinical Dx (choice=Unknown)	0.07570423014292293	0.1450139681373114	0.00796812749003984
APOE Genotype	CERAD score	0.1852218822181537	0.1442545133212939	0.01593625498007968
Thal	RIN	0.22934125989904236	0.1426998927765746	0.027888446215139442
Interval from last CASI in months	Braak	0.21744838208033734	0.14231258526782192	0.0199203187250996
Last MOCA Score	Highest Lewy Body Disease	0.09460533619471252	0.14190897033852362	0.0199203187250996
Last MMSE Score	Braak	0.20951967680423134	0.14026695544528142	0.043824701195219126
Interval from last CASI in months	Thal	0.222984312799548	0.1386821771624272	0.0398406374501992
CERAD score	Overall CAA Score	0.16792436998962307	0.13861908351987745	0.00398406374501992
APOE Genotype	Age of onset cognitive symptoms	0.15422416018001836	0.13729176453998201	0.01195219123505976
Age of onset cognitive symptoms	Highest Lewy Body Disease	0.16865590258349744	0.13456557706281363	0.0199203187250996
Interval from last MOCA in months	Overall CAA Score	0.07572012982491026	0.1343189796709595	0.01195219123505976
Consensus Clinical Dx (choice=Control)	Braak	0.13148612771852958	0.1339086640606172	0.00398406374501992
Last MMSE Score	CERAD score	0.1908088971881298	0.1336934388952391	0.00398406374501992
Overall AD neuropathological Change	RIN	0.18631813683756487	0.13356073897674242	0.00796812749003984
Primary Study Name	Age of onset cognitive symptoms	0.0917805655194926	0.13307108932057896	0.00398406374501992
Brain pH	Thal	0.1950000652873377	0.13246846604211468	0.03187250996015936
Cognitive Status	Last MMSE Score	0.13408750154360075	0.12987351526346408	0.00398406374501992
Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	Interval from last CASI in months	0.09590693829332814	0.12956664404597767	0.01195219123505976
Consensus Clinical Dx (choice=Control)	Overall AD neuropathological Change	0.11594258090838153	0.12927458306035278	0.00398406374501992
Consensus Clinical Dx (choice=Control)	CERAD score	0.12049537358107325	0.1284340069859145	0.00398406374501992
Cognitive Status	Interval from last MMSE in months	0.1355832292740014	0.12837925262860023	0.00398406374501992
Age at Death	Age of Dementia diagnosis	0.11352994686174106	0.12831623021558244	0.00398406374501992
Secondary Study Name	RIN	0.08919308550756022	0.12783844638971237	0.0199203187250996
Last MMSE Score	Overall AD neuropathological Change	0.17426950285895845	0.12773013984288384	0.01593625498007968
Age of onset cognitive symptoms	Last MMSE Score	0.15824539336216878	0.12673527319201724	0.00398406374501992
Consensus Clinical Dx (choice=Control)	Thal	0.13056830369981615	0.12636468415526297	0.00398406374501992
Fresh Brain Weight	LATE	0.17789355944284602	0.1251455752963341	0.01593625498007968
Total Microinfarcts (not observed grossly)	LATE	0.12113067687678636	0.1250651206601723	0.01195219123505976
Primary Study Name	Braak	0.09853563190181994	0.11942367037414642	0.00398406374501992
Last CASI Score	CERAD score	0.1742540339214307	0.11938381713096018	0.00398406374501992
Consensus Clinical Dx (choice=Alzheimers disease)	Thal	0.11550851623040556	0.11894208899808525	0.00796812749003984
Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	Consensus Clinical Dx (choice=Control)	0.055284930907190694	0.11622286275713073	0.00796812749003984
APOE Genotype	Consensus Clinical Dx (choice=Alzheimers disease)	0.09795037206760421	0.11459180967421485	0.00796812749003984
Braak	Severely Affected Donor	0.08591115044197684	0.1144751267586426	0.01593625498007968
Last MMSE Score	RIN	0.17783733063498608	0.1131005381305689	0.0398406374501992
APOE Genotype	Have they had neuroimaging	0.11965961244132776	0.11301607766895559	0.043824701195219126
Primary Study Name	Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	0.04501511949585567	0.11261897535283172	0.01195219123505976
Consensus Clinical Dx (choice=Alzheimers disease)	LATE	0.09600337232176442	0.1117950063757026	0.00796812749003984
Cognitive Status	Severely Affected Donor	0.05749798234320398	0.1108449585975272	0.00398406374501992
Interval from last MMSE in months	Fresh Brain Weight	0.17818978034517785	0.11075939303845617	0.0398406374501992
Age of Dementia diagnosis	Last CASI Score	0.09539938769550534	0.10779936597879812	0.00398406374501992
Consensus Clinical Dx (choice=Control)	Highest Lewy Body Disease	0.10938574196418702	0.10779905723955752	0.01593625498007968
Age of onset cognitive symptoms	Brain pH	0.1222986185874053	0.1045865804607807	0.01593625498007968
Thal	Total Microinfarcts (not observed grossly)	0.11379707788492725	0.10389599654333663	0.043824701195219126
Fresh Brain Weight	CERAD score	0.15018463779204744	0.10289354530598445	0.0199203187250996
Consensus Clinical Dx (choice=Alzheimers disease)	Consensus Clinical Dx (choice=Unknown)	0.05005404079203635	0.1020146244068887	0.027888446215139442
Years of education	Age of onset cognitive symptoms	0.12396237118302307	0.09979039370741268	0.043824701195219126
Primary Study Name	Interval from last MOCA in months	0.03637138128551763	0.09914128871647701	0.01593625498007968
Last MMSE Score	Severely Affected Donor	0.0761232283368494	0.09852315177879276	0.0199203187250996
Cognitive Status	Interval from last CASI in months	0.1039363904089304	0.09841391293791467	0.00796812749003984
Thal	Severely Affected Donor	0.07771102704695412	0.09840189443600322	0.027888446215139442
Cognitive Status	Highest Lewy Body Disease	0.10182788644383714	0.098257346262145	0.01593625498007968
CERAD score	Severely Affected Donor	0.0703864595178201	0.09815934161307159	0.02390438247011952
Age of Dementia diagnosis	Brain pH	0.07891438849198845	0.09737862786467653	0.01593625498007968
Primary Study Name	APOE Genotype	0.07374622427904978	0.09649882878366998	0.043824701195219126
Age of onset cognitive symptoms	Consensus Clinical Dx (choice=Other)	0.06350570757359145	0.09608498433467037	0.01195219123505976
Primary Study Name	Fresh Brain Weight	0.08263466036427503	0.09511959714016992	0.02390438247011952
Highest level of education	Consensus Clinical Dx (choice=Other)	0.07516941966474085	0.09367932056541657	0.0199203187250996
Primary Study Name	Have they had neuroimaging	0.060241029223682546	0.09266717675912226	0.00398406374501992
Have they had neuroimaging	Consensus Clinical Dx (choice=Unknown)	0.05571215232379936	0.09166813154721436	0.00796812749003984
Last MOCA Score	RIN	0.05937601126213282	0.08743612781715465	0.04780876494023904
Age of Dementia diagnosis	Interval from last CASI in months	0.07722110740829535	0.08723927949561637	0.01593625498007968
Last CASI Score	Severely Affected Donor	0.0684243859758649	0.08659307345193404	0.03187250996015936
Age of Dementia diagnosis	Consensus Clinical Dx (choice=Alzheimers disease)	0.044872955745020565	0.08393361692808993	0.00796812749003984
Sex	Last MMSE Score	0.08406477445983734	0.08281686148366948	0.01593625498007968
Sex	Total Microinfarcts (not observed grossly)	0.05849484948146333	0.08269900397337204	0.00796812749003984
Age of Dementia diagnosis	Last MMSE Score	0.07132477583032416	0.08242517683847374	0.027888446215139442
Cognitive Status	LATE	0.07653066028211365	0.08201283586163766	0.0199203187250996
Last CASI Score	Arteriolosclerosis	0.10702413670308641	0.08132944492156571	0.03187250996015936
Consensus Clinical Dx (choice=Control)	Consensus Clinical Dx (choice=Other)	0.043493300370624405	0.08128060758115076	0.03187250996015936
Consensus Clinical Dx (choice=Control)	Last MMSE Score	0.0813759852702772	0.0804978909057338	0.00796812749003984
Age of onset cognitive symptoms	Severely Affected Donor	0.04911041987490278	0.07828365955654028	0.04780876494023904
Known head injury	Total Microinfarcts (not observed grossly)	0.06108708806387808	0.07714030273025896	0.04780876494023904
APOE Genotype	Consensus Clinical Dx (choice=Control)	0.06978567749985234	0.07673264782036164	0.0398406374501992
APOE Genotype	Cognitive Status	0.07123942577450854	0.07669699542129865	0.0398406374501992
Interval from last MOCA in months	Severely Affected Donor	0.025520605157575357	0.07648041279073832	0.03187250996015936
Primary Study Name	CERAD score	0.06002681328378598	0.07614183073085187	0.027888446215139442
Consensus Clinical Dx (choice=Alzheimers Possible/ Probable)	CERAD score	0.05109050630071023	0.07607609903115682	0.0398406374501992
Primary Study Name	Years of education	0.06347150355247258	0.07510482301343356	0.0199203187250996
Consensus Clinical Dx (choice=Control)	Interval from last MMSE in months	0.07537419420172628	0.07288992386570062	0.02390438247011952
Known head injury	Have they had neuroimaging	0.059713034850891286	0.0686594095555345	0.043824701195219126
Primary Study Name	Overall CAA Score	0.04917285706939244	0.06819929322840936	0.043824701195219126
Consensus Clinical Dx (choice=Control)	Severely Affected Donor	0.03216166522952025	0.0633224649405786	0.043824701195219126
Age at Death	Cognitive Status	0.057742972717617705	0.054699470300403834	0.04780876494023904
Cognitive Status	Total Microinfarcts (not observed grossly)	0.03799921515033314	0.05281835351064116	0.0398406374501992
Consensus Clinical Dx (choice=Alzheimers disease)	Arteriolosclerosis	0.03857687038674665	0.04852591228064004	0.035856573705179286
